,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,Worms,,,,Schistosomiasis,,LF,,,Total,,,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,Malaria,HIV,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,LF,,,Total
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ + PQ,Impact of DHA-PPQ + PQ,Impact of ART + NQ,Impact of ART + PPQ,Impact of AL + PQ,Impact of SP,Impact of AS + MQ + PQ,Impact of QN + CL,Impact of QN + D,Total Impact (p.falc),Impact of CQ+PQ,Impact of CQ,Impact of CQ + PG,Impact of AL,Impact of AL+PQ,Impact of AS + AQ,Impact of DHA-PPQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,,Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,Total Impact (p.falc),CQ + PQ,CQ,DHA-PPQ,AL,AL + PQ,AS + AQ + PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of ATV/r,Impact of TDF,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,"29,132.40","179,539.21",18.57,2.88,32.39,73.63,"208,799.08",0.00,0.00,0.00,0.00,0.00,539.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,539.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,539.33,"1,876.13",43.45,"1,535.77",10.43,86.22,"1,238.22",124.37,245.13,326.86,345.49,194.53,6.19,"6,032.79", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,  146.51 ,,  146.51 ,"216,057.05",, Haiti,"3,719.79","23,726.71","1,594.05",21.81,231.66,66.24,"29,360.27",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.31,0.00,0.00,0.00,0.00,0.00,0.00,8.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.31,"1,099.85",31.11,427.45,0.82,4.17,805.36,284.84,102.27,462.32,15.44,950.90,"4,184.53", , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,  82.65 ,  863.29 ,945.94,"34,499.06"
Honduras,"1,596.67","16,469.73",1.94,0.30,3.16,6.91,"18,078.71",0.00,0.00,0.00,0.00,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,26.49,0.00,0.00,0.00,0.00,0.00,0.00,26.49,27.82,973.80,24.49,778.55,2.43,48.62,657.38,70.05,115.09,162.77,194.61,109.60,1.44,"3,138.83", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"21,246.68",, Honduras,"1,664.01","10,613.90",75.47,20.27,201.80,10.67,"12,586.13",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.60,0.00,0.00,0.00,0.00,0.00,1.60,1.82,635.18,47.38,276.90,1.33,6.83,401.76,134.73,71.47,290.49,7.33,453.58,"2,326.99", , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"14,914.93"
Hungary,"6,471.34",0.00,3.89,0.60,9.32,0.92,"6,486.07",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.47,0.01,8.88,0.00,9.63,9.11,1.31,0.12,13.55,4.27,0.00,0.00,68.34, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"6,554.41",, Hungary,215.17,"1,372.49",0.00,0.00,0.00,1.00,"1,588.66",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"1,588.66"
Iceland,1.93,59.09,0.00,0.00,0.00,0.04,61.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.02,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.09, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,61.15,, Iceland,3.97,25.30,0.00,0.00,0.00,0.04,29.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,29.31
India,"976,080.87","15,806,431.41",681.00,105.43,"1,532.75","11,163.21","16,795,994.68",0.00,"105,581.34",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"105,581.34","110,584.28",0.00,0.00,0.00,0.00,0.00,0.00,"110,584.28","216,165.62","21,620.50",241.98,"8,806.55",0.00,"9,797.79","9,030.49","1,227.31",294.22,"13,486.50","4,001.48",0.00,0.00,"68,506.82", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,"  1,499.49 ",,"  1,499.49 ","17,187,747.95",, India,"1,793,242.31","11,438,193.66","532,808.38","52,943.55","732,874.66","47,277.45","14,597,340.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"447,790.39",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"447,790.39","238,527.95",0.00,0.00,0.00,0.00,0.00,"238,527.95","686,318.34","13,800.33",54.68,"5,123.83",0.00,0.00,"10,691.97","3,885.72","1,150.92","5,628.05",215.11,"12,898.23","53,448.83", , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,  206.40 ,206.40,"15,337,313.56"
Indonesia,"1,866,647.43","4,245,027.34",88.29,13.67,164.78,"2,595.50","6,114,537.01",0.00,0.00,0.00,0.00,"8,467.95",0.00,"8,028.44",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"16,496.39",0.00,0.00,0.00,0.00,0.00,"4,191.40","6,747.37","10,938.77","27,435.16","11,747.49",78.56,"4,806.45",0.00,"5,290.43","4,979.75",698.69,122.51,"7,332.31","2,270.74",0.00,0.00,"37,326.94", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,"6,195,795.50",, Indonesia,"370,784.45","2,365,048.14","138,801.54","2,431.24","30,472.16","6,156.23","2,913,693.75",0.00,0.00,0.00,0.00,0.00,"10,540.09",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,630.62",0.00,0.00,0.00,0.00,"20,170.71",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"20,170.71",503.69,27.40,207.92,0.78,3.96,340.63,119.09,55.14,220.76,6.92,396.93,"1,883.22", , , , , , , , ,0.00,0.00,0.00,0.00,  -   ,0.00,,0.00,,  194.36 ,194.36,"2,935,942.04"
Iran,"12,374.33","48,418.23",0.00,0.00,0.00,43.45,"60,836.02",0.00,8.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,47.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,55.91,329.88,0.71,135.41,0.00,147.52,142.55,20.72,2.40,205.56,66.97,0.00,0.00,"1,051.73", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"61,952.56",, Iran,"6,106.00","38,947.10",289.50,16.84,260.09,20.31,"45,639.83",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.96,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.78,63.69,0.00,0.00,0.00,0.00,0.00,63.69,67.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"45,707.30"
Iraq,6.60,"67,732.09",6.80,1.05,21.42,45.41,"67,813.38",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"67,813.38",, Iraq,"6,524.73","41,617.96",715.05,34.57,647.77,50.10,"49,590.18",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"49,590.18"
Ireland,144.73,"1,224.51",0.33,0.05,0.50,0.06,"1,370.19",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.10,0.23,0.00,0.36,0.21,0.00,0.07,0.39,0.00,0.00,0.00,2.06, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"1,372.25",, Ireland,79.30,505.78,0.63,0.30,2.74,0.13,588.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,588.87
Israel,43.42,"1,506.48",1.97,0.31,5.32,0.17,"1,557.66",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"1,557.66",, Israel,69.22,441.53,9.34,1.39,11.45,0.80,533.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,533.73
Italy,"2,405.13","12,311.45",0.00,0.00,0.00,1.92,"14,718.51",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.91,1.09,2.67,0.00,4.15,2.44,0.00,0.83,4.47,0.00,0.00,0.00,23.57, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"14,742.07",, Italy,923.63,"5,891.34",0.00,0.00,0.00,5.07,"6,820.04",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"6,820.04"
Jamaica,138.85,693.53,0.30,0.05,0.40,0.58,833.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,327.98",32.43,"1,070.61",4.48,64.36,891.48,92.83,161.63,224.32,257.89,145.21,2.66,"4,275.87", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"5,109.58",, Jamaica,73.31,467.62,0.00,0.00,0.00,0.00,540.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,480.78,3.97,181.18,0.06,0.31,367.10,133.34,41.40,198.20,7.48,442.32,"1,856.13", , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"2,397.06"
Japan,377.71,"131,248.95",0.00,0.00,0.00,3.96,"131,630.62",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.23,0.89,7.87,0.00,9.52,7.93,0.87,0.76,12.27,2.82,0.00,0.00,63.15, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"131,693.76",, Japan,"5,569.88","35,527.45",0.00,0.00,0.00,7.88,"41,105.21",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.36,0.03,3.12,0.00,0.00,6.45,2.36,0.71,3.43,0.13,7.80,32.40, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"41,137.61"
Jordan,0.00,"3,216.38",2.78,0.43,8.77,0.84,"3,229.21",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,229.21",, Jordan,77.96,497.29,35.16,1.53,21.61,2.09,635.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,635.64
Kazakhstan,"1,022.47","110,425.68","2,094.78",324.31,"4,793.27",177.23,"118,837.74",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,769.55,1.78,316.67,0.00,345.27,328.08,46.99,5.56,482.66,152.82,0.00,0.00,"2,449.39", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"121,287.14",, Kazakhstan,"6,409.42","40,882.47","7,240.72",311.56,"3,522.29",397.06,"58,763.52",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.40,17.93,122.12,0.49,2.52,181.08,62.14,30.75,128.61,3.52,207.89,"1,038.44", , , , , , , , ,0.00,0.00,0.00,0.00,  -   ,0.00,0.00,0.00,,,0.00,"59,801.96"
Kenya,"160,460.61","348,162.38",32.01,4.96,69.54,237.78,"508,967.27","844,064.17",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"844,064.17",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"844,064.17","115,357.16","1,280.90","47,299.76",0.00,"52,525.25","46,867.38","6,182.81","1,525.82","72,953.77","20,434.06",0.00,0.00,"364,426.92", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"  2,384.82 ","  2,384.82 ",,  0.02 ,  0.02 ,"2,563,907.39",, Kenya,"38,969.23","248,565.17","1,520.76",46.36,560.02,76.27,"289,737.80","176,634.89",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"176,634.89",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"176,634.89","84,805.45","10,524.81","40,823.72",301.17,"1,550.71","45,146.19","13,883.04","11,320.82","41,734.31",747.34,"47,478.87","298,316.44", , , , , , , , ,0.00,0.00,0.00,0.00,"  1,863.14 ","1,863.14",,0.00,,  0.05 ,0.05,"766,552.31"
Kiribati,0.00,"1,329.10",0.00,0.00,0.00,0.86,"1,329.95",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.01,0.21,0.00,0.24,0.21,0.03,0.01,0.32,0.09,0.00,0.00,1.65, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,  -   ,"1,331.61",, Kiribati,189.48,"1,208.62",0.00,0.00,0.00,2.10,"1,400.21",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.08,0.00,0.00,0.16,0.06,0.02,0.08,0.00,0.19,0.81, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"1,401.01"
Kuwait,7.86,"3,820.76",0.90,0.14,1.23,0.07,"3,830.96",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,830.96",, Kuwait,99.22,632.91,1.26,0.52,4.55,0.23,738.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,738.69
Kyrgyzstan,"20,947.49",0.00,141.92,21.97,323.07,49.03,"21,483.48",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.38,3.85,49.20,0.00,57.40,50.78,6.23,3.50,75.74,20.16,0.00,0.00,391.24, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"21,874.71",, Kyrgyzstan,"1,931.85","12,322.29","3,165.62",116.33,"1,283.86",163.70,"18,983.64",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.22,2.84,59.18,0.06,0.33,112.47,40.62,13.92,64.19,2.32,134.76,582.92, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,0.00,"19,566.56"
Lao People's Democratic Republic,"7,358.68","83,520.16",0.36,0.06,0.62,61.16,"90,941.04","2,830.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,830.60",244.77,0.00,0.00,0.00,0.00,0.00,0.00,244.77,"3,075.37",224.26,1.49,92.31,0.00,101.49,92.63,12.65,2.26,141.79,41.62,0.00,0.00,710.49, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  144.94 ,  144.94 ,,  0.10 ,  0.10 ,"97,702.54",, Lao People's Democratic Republic,"3,779.25","24,105.91",0.00,0.00,0.00,0.00,"27,885.16",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,518.39,518.39,781.97,0.00,0.00,0.00,0.00,0.00,781.97,"1,300.36",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,  43.86 ,43.86,,0.00,,  0.05 ,0.05,"29,229.43"
Latvia,332.10,"5,170.83",21.61,3.35,83.00,1.83,"5,612.72",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,455.53,0.45,187.55,0.00,203.77,195.85,28.42,2.89,285.15,92.17,0.00,0.00,"1,451.79", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"7,064.51",, Latvia,207.55,"1,323.86",39.49,3.71,68.07,3.99,"1,646.67",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.39,0.13,2.50,0.00,0.02,4.69,1.69,0.59,2.71,0.10,5.62,24.44, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"1,671.11"
Lebanon,78.35,"4,483.69",1.33,0.21,5.86,0.45,"4,569.88",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103.13,0.14,42.61,0.00,46.31,43.56,6.20,0.66,65.09,20.27,0.00,0.00,327.97, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"4,897.86",, Lebanon,209.92,"1,338.98",3.27,0.64,5.25,0.33,"1,558.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.34,0.09,8.68,0.00,0.00,18.06,6.57,1.96,9.53,0.37,21.80,90.39, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"1,648.79"
Lesotho,"52,563.69","24,189.82",45.42,7.03,100.39,67.47,"76,973.82",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"24,937.04",225.12,"10,239.09",0.00,"11,319.99","10,226.04","1,373.32",293.74,"15,756.83","4,526.16",0.00,0.00,"78,897.31",  127.28 ,  150.96 , ,  40.26 ,  32.82 ,  71.04 ,  145.73 , ,  278.24 ,  73.09 ,  216.77 ,  568.10 ,,  -   ,,,  -   ,"156,439.23",, Lesotho,"11,979.73","76,412.70","1,823.34",121.32,"1,556.56",125.53,"92,019.18",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,023.48",189.06,908.25,5.41,27.79,"1,212.05",397.30,247.78,943.64,21.97,"1,341.53","7,318.26",  22.87 , ,  21.30 ,  63.33 , ,  109.68 , ,  297.97 ,44.17,63.33,407.65,515.15,  -   ,0.00,0.00,0.00,,,0.00,"99,852.59"
